,smiles,logS
371,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38
372,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
373,CCCCc1ccccc1,-4.06
374,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59
375,C=CCCCO,-0.15
376,C#CCCCC,-2.36
377,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68
378,Oc1ccccc1O,0.62
379,c1ccc(Nc2ccccc2)cc1,-3.5039999999999996
380,COC(=O)c1cc(O)c(O)c(O)c1,-1.24
381,CCCC(=O)OC,-1.92
382,c1ccc2c(c1)[nH]c1ccccc12,-5.27
383,Clc1ccc(-c2ccccc2Cl)cc1,-5.28
384,N#Cc1cc(I)c(O)c(I)c1,-3.61
385,C=C(Cl)CSC(=S)N(CC)CC,-3.39
386,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8
387,Cc1ccccc1C,-2.8
388,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328
389,OCC1OC(O)C(O)C(O)C1O,0.74
390,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
391,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876
392,CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14
393,Oc1ccc(O)cc1,-0.17
394,COc1ccc([N+](=O)[O-])cc1,-2.41
395,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82
396,Cc1ccc(-c2ccccc2)cc1,-4.62
397,CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
398,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
399,c1ccc(-c2ccccc2)cc1,-4.345
400,CCOc1ccc(NC(N)=O)cc1,-2.17
401,Fc1ccc(F)cc1,-1.97
402,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)NC1=O,-3.952
403,Oc1ccc2ccccc2c1,-2.28
404,CCC#CCC,-1.99
405,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57
406,c1cc2c3c(cccc3c1)CC2,-4.63
407,Cc1cc2ccccc2cc1C,-4.72
408,COC(=O)c1ccc(O)cc1,-1.827
409,CCCCCCCCCCCCCCCCCCCC,-8.172
410,CC(=O)c1ccccc1,-1.28
411,Oc1cccc2cccnc12,-2.42
412,CC1=CC(=O)c2ccccc2C1=O,-3.03
413,CC1CCCCC1,-3.85
414,Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47
415,C#CCCCCC,-3.01
416,COC(=O)c1cccnc1,-0.46
417,C1=CCCCCC1,-3.18
418,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65
419,CCC(C)O,0.47
420,CCCC(C)O,-0.29
421,CCSCc1ccccc1OC(=O)NC,-2.09
422,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.16
423,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
424,CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,-4.553999999999999
425,CCCC(C)(O)CC,-0.98
426,O=C1c2ccccc2Cc2ccccc2N1CCF,-4.7989999999999995
427,CCc1ccc(CC)cc1,-3.75
428,C=CCCCCCCC,-5.05
429,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.29
430,CN1C(=O)c2cccnc2Oc2ccccc21,-3.6719999999999997
431,OCC(O)C(O)C(O)C(O)CO,1.09
432,C=CC(C)C,-2.73
433,Sc1ccccc1,-2.12
434,OCCOc1ccccc1,-0.7
435,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-3.81
436,CCOc1ccc(NC(C)=O)cc1,-2.35
437,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057
438,Cc1cc(C)c(C)c(C)c1C,-4.0
439,Cc1cc(C)cc(O)c1,-1.4
440,Cc1ccc(C)cc1,-2.77
441,Clc1cccc(Cl)c1-c1ccccc1,-5.21
442,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
443,c1ccc(Oc2ccccc2)cc1,-3.96
444,CC(C)CCl,-2.0
445,O=C1CCCCC1,-0.6
446,CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-4.31
447,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
448,COc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1,-2.478
449,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16
450,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32
451,Nc1ccc(S(N)(=O)=O)cc1,-1.34
452,OC1CCCCCC1,-0.88
453,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67
454,COCCCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,-2.928
455,Clc1cc(Cl)cc(Cl)c1,-4.48
456,CCOC(C)OCC,-0.43
457,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21,-3.36
458,CCN1C(=O)c2ccccc2Oc2ccccc21,-3.68
459,Clc1ccccc1I,-3.54
460,Nc1ccc(Cl)cc1,-1.66
461,Cc1ccc(O)cc1,-0.73
462,CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,-3.69
463,NC(=S)Nc1ccccc1,-1.77
464,CC(=O)Nc1ccccc1,-1.33
465,Nc1ccccc1[N+](=O)[O-],-1.96
466,N#Cc1ccccc1C#N,-2.38
467,COc1ccccc1Cl,-2.46
468,N#Cc1cc(Br)c(O)c(Br)c1,-3.33
469,c1ccc2c(c1)sc1ccccc12,-4.38
470,c1cnc2ncncc2n1,0.02
471,Clc1cccc(Cl)c1,-3.04
472,CC(C)NC(=O)n1cc(O)n(-c2cc(Cl)cc(Cl)c2)c1=O,-4.376
473,C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.614
474,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99
475,Nc1ccc(O)cc1,-0.8
476,CC=CC=O,0.32
477,O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,-3.4989999999999997
478,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17
479,CC(C)=CCCC(C)=CC=O,-2.06
480,CC(=O)C1(C)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,-5.27
481,COc1cnc2ncncc2n1,-1.139
482,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03
483,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,-4.21
484,c1ccc(N=Nc2ccccc2)cc1,-4.45
485,N=c1[nH]cnc2[nH]cnc12,-2.12
486,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094
487,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1
488,O=C1c2ccccc2C(=O)c2ccccc21,-5.19
489,Cc1cc(C)cc(C)c1,-3.4
490,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,-4.37
491,CC(C)C(C)(C)C,-4.36
492,CNC(=O)Oc1ccccc1C1OCCO1,-1.57
493,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19
494,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.017999999999999
495,Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56
496,CCCCC=O,-0.85
497,CCCCCCCCO,-2.39
498,CC(O)c1ccccc1,-0.92
499,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8
500,Oc1ccc(O)[nH]1,0.3
501,OC(c1ccccc1)c1ccccc1,-2.55
502,CCCCCCCCC(=O)OCC,-3.8
503,Nc1ccc(-c2ccc(N)cc2)cc1,-2.7
504,O=C1CCCN1,1.07
505,ClCCCCl,-1.62
506,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78
507,COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.314
508,Nc1ccccc1O,-0.72
509,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49
510,Clc1cccc(I)c1,-3.55
511,C=C(C)C1C=CC(C)C(=O)C1,-2.06
512,CC(C)(C)c1ccccc1,-3.66
513,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
514,Clc1cccc2ccccc12,-3.93
515,ClCC(Cl)Cl,-1.48
516,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.8
517,S=c1[nH]c2ccccc2s1,-3.18
518,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
519,CCCCC(=O)OCC,-2.25
520,O=[N+]([O-])c1cccc(Cl)c1,-2.77
521,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-9.332
522,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(O)C3CCC21C,-4.57
523,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005
524,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124
525,c1ccc2c(c1)CCC2,-3.04
526,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51
527,CC(C)CC(C)(C)C,-4.74
528,CCc1ccccn1,0.51
529,COC(C)(C)CCCC(C)C=CC=C(C)CC(=O)OC(C)C,-5.19
530,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661
531,CCOC(=O)c1ccccc1,-2.32
532,O=[N+]([O-])c1ccccc1Cl,-2.55
533,CCOCC,-0.09
534,Cc1cccc2c(C)cccc12,-4.678999999999999
535,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43
536,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49
537,CCCCc1c(C)[nH]c(N(C)C)nc1=O,-2.24
538,CC(Cl)CCl,-1.6
539,CCCC(C)(C)C,-4.36
540,CCCCO,0.0
541,CCCCC,-3.18
542,CCOP(=S)(OCC)SCSCC,-4.11
543,CCCCC(C)O,-0.89
544,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658
545,C=CCc1ccc(OC)cc1,-2.92
546,CC1CCC(C)CC1,-4.47
547,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,-3.46
548,COC(=O)c1ccccc1C(=O)OC,-1.66
549,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28
550,CCOC(=O)CC(=O)OCC,-0.82
551,CNC(=O)C(C)SCCSP(=O)(OC)OC,1.1440000000000001
552,CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
553,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.317
554,O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19
555,Oc1cc(Cl)cc(Cl)c1Cl,-2.67
556,Cc1cncc(C)c1,0.38
557,CCCCCC(=O)OCC,-2.35
558,ClC=C(Cl)Cl,-1.96
559,Cc1cccc(C)c1O,-1.29
560,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002
561,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.878
562,Nc1ccccc1Cl,-1.52
563,Clc1ccccc1-c1ccccc1Cl,-5.27
564,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.647
565,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.8960000000000004
566,NC(=O)c1cnccn1,-0.667
567,CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1,-2.084
568,CCCOC(=O)CCC,-1.75
569,Cc1c2ccccc2cc2ccccc12,-5.89
570,CC1=CCCCC1,-3.27
571,O=C1NC(=O)C2(CCCC2)C(=O)N1,-2.349
572,CC(=O)N(C)C,1.11
573,CC=Cc1ccc(OC)cc1,-3.13
574,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.4319999999999995
575,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
576,O=c1cc[nH]cc1,1.02
577,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.07
578,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04
579,c1ccc2ncccc2c1,-1.3
580,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571
581,Clc1ccc2ccccc2c1,-4.14
582,CCN=c1[nH]c(Cl)nc(=NC(C)C)[nH]1,-3.85
583,CC(=O)Nc1ccc(Br)cc1,-3.083
584,CCCCCl,-2.03
585,CCCCCCCCBr,-5.06
586,COc1ccccc1O,-1.96
587,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19
588,CN(C)C(=O)SCCCCOc1ccccc1,-3.927
589,C1CCCCCC1,-3.51
590,CCN=c1[nH]c(OC)nc(=NC(C)(C)C)[nH]1,-3.239
591,N#CN=C(N)N,-0.31
592,Oc1cccc(O)c1,0.81
593,C1CCCCCCC1,-4.15
594,Oc1[nH]c(O)c2ccccc12,-2.932
595,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601
596,Oc1ccc2c(c1)CCCC2,-1.99
597,CCCCc1c(C)[nH]c(=NCC)[nH]c1=O,-3.028
598,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57
599,CCOCCOCC,-0.77
600,Oc1cc(Cl)c(Cl)cc1Cl,-2.21
601,Brc1cccc2ccccc12,-4.35
602,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22
603,CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,-5.35
604,Cc1ccc(C)c2ccccc12,-4.14
605,CNc1ccccc1,-1.28
606,C=C(C)CC,-2.73
607,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,-5.915
608,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-5.666
609,C#CCCCCCCC,-4.24
610,CN(C)c1ccccc1,-1.92
611,O=Cc1ccc(O)cc1,-0.96
612,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523
613,Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57
614,CCC(O)CC,-0.24
615,NC(=O)c1ccccc1,-0.96
616,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.676
617,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,-4.955
618,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.35
619,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.86
620,Clc1cccc(Br)c1,-3.21
621,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
622,CC(=O)CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-3.27
623,c1ccc2scnc2c1,-1.5
624,Oc1ccc(Cl)c(Cl)c1,-1.25
625,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8
626,CCC(C)(C)CC,-4.23
627,CCCC(C)(C)CO,-1.52
628,CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,-4.114
629,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.62
630,O=c1[nH]c2cc(Cl)ccc2o1,-2.8310000000000004
631,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9
632,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-3.93
633,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21
634,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-6.6370000000000005
635,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-6.8
636,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696
637,CCCCCCCCC(C)=O,-3.3
638,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.66
639,CCCC=O,-0.01
640,c1ccc(C2CO2)cc1,-1.6
641,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408
642,CC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-5.184
643,Nc1cccc([N+](=O)[O-])c1,-2.19
644,CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
645,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13
646,Cc1ccc(NC(=O)N(C)C)cc1Cl,-3.483
647,CCSC(=O)N(CC)C1CCCCC1,-3.4
648,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
649,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-1.23
650,Cc1cccc([N+](=O)[O-])c1,-2.44
651,CCOC(=O)c1ccccc1C(=O)OCC,-2.35
652,OCC(O)CO,1.12
653,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522
654,N=c1[nH]c(=O)[nH]cc1F,-0.972
655,c1ccc2cnccc2c1,-1.45
656,CCC(C)(C)Cl,-2.51
657,CC(C)C(=O)C(C)C,-1.3
658,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.081
659,Oc1c(Cl)cc(Cl)cc1Cl,-2.34
660,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.15
661,c1ccc2c(c1)CCCC2,-4.37
662,CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21,-4.871
663,CCC(C)C,-3.18
664,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82
665,c1ccc2ocnc2c1,-1.16
666,O=[N+]([O-])c1cccc(O)c1,-1.01
667,Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1,-7.92
668,CSc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1,-4.1
669,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.66
670,Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25
671,CCCCCCCl,-3.12
672,CCCC(C)(C)O,-0.49
673,CCC(O)C(C)C,-0.7
674,CCCCCCCCl,-4.0
675,ClC(Cl)(Cl)Cl,-2.31
676,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.5070000000000014
677,CCCCC(C=O)CC,-2.13
678,Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29
679,CCCCCCCCCCCCO,-4.8
680,CCC(C)C(C)=O,-0.67
681,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
682,OC1CCCCC1,-0.44
683,CC(=O)OCC(C)C,-1.21
684,COc1c2occc2cc2ccc(=O)oc12,-3.6639999999999997
685,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
686,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24
687,CCCCCC(=O)OC,-1.87
688,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999
689,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.0
690,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6
691,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.451
692,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09
693,Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.624
694,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
695,CCC(C)CCO,-0.71
696,ClC(Cl)C(Cl)(Cl)Cl,-2.6
697,Oc1ccc(Cl)cc1Cl,-1.55
698,Oc1c(Cl)cccc1Cl,-1.79
699,CCOC(=O)c1ccc(N)cc1,-2.616
700,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925
701,CCCCC(C)(C)O,-1.08
702,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766
703,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,-4.632
704,Oc1cccc2ccccc12,-2.22
705,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4
706,NC(=O)c1cccnc1,0.61
707,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.083
708,Cc1cc(C)c2ccccc2c1,-4.29
709,CCc1ccccc1CC,-3.28
710,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98
711,CC(=O)C(C)(C)C,-0.72
712,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
713,CCCCCC,-3.84
714,O=C(Nc1ccccc1)c1ccccc1O,-3.59
715,CCCC(O)CCC,-1.4
716,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.154
717,Cc1ccc(Cl)cc1,-3.08
718,O=c1[nH]cnc2[nH]ncc12,-2.266
719,O=c1[nH]cc(F)c(=O)[nH]1,-1.077
720,Cc1cc(=O)[nH]c(=S)[nH]1,-2.436
721,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.3370000000000015
722,C=CCc1ccc(O)c(OC)c1,-1.56
723,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.3
724,CCOC(=O)c1cncn1C(C)c1ccccc1,-4.735
725,CCCCCCc1ccc(O)cc1O,-2.59
726,CCCCC(=O)OC,-1.34
727,c1ccccc1,-1.64
728,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.2589999999999995
729,CCC(C)Cl,-1.96
730,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.7520000000000024
731,CC12CCC(CC1)C(C)(C)O2,-1.74
732,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.16
733,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68
734,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.92
735,c1ccc(CCc2ccccc2)cc1,-4.62
736,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13
737,Cc1ccccc1N,-2.21
738,CC(=O)OC(C)C,-0.55
739,Clc1ccc(I)cc1,-4.03
