,smiles,Energy
0,CCCCN,-4.24
1,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,-4.38
2,CC(C)CBr,-0.03
3,ClC(Cl)C(Cl)Cl,-2.37
4,CCc1ccccc1O,-5.66
5,O=[N+]([O-])c1ccccc1,-4.12
6,Nc1cccc2ccccc12,-7.28
7,Cc1c[nH]cn1,-10.27
8,c1cc2ccc3cccc4ccc(c1)c2c34,-4.52
9,CC(C)C(=O)C(C)C,-2.74
10,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-2.16
11,OCC(F)(F)F,-4.31
12,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-8.42
13,CCC(N)=O,-9.4
14,Cc1ccncc1C,-5.22
15,CCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,-7.65
16,FC1(F)C(F)(F)C(F)(F)C1(F)F,3.43
17,Nc1ccccc1,-5.49
18,CCCCC/C=C/C=O,-3.43
19,CC[C@@H](C)C(C)C,2.52
20,CCCCCCN,-3.95
21,Cc1cccc2ccccc12,-2.44
22,CCCOC(=O)CC,-2.44
23,CC(C)Cc1ccccc1,0.16
24,OC1CCCCCC1,-5.48
25,CC(C)Cc1cnccn1,-5.04
26,Clc1ccc(Cl)c(Cl)c1Cl,-1.34
27,Cc1ccc(C(C)C)cc1,-0.68
28,O=[N+]([O-])c1cccc(O)c1,-9.62
29,COc1ccccc1N,-6.12
30,O=C1NC(=O)c2ccccc21,-9.61
31,CN1CCNCC1,-7.77
32,Nc1ccc([N+](=O)[O-])cc1,-9.82
33,CCCCC[N+](=O)[O-],-2.82
34,CC(=O)OC(C)OC(C)=O,-4.97
35,COS(=O)(=O)OC,-5.1
36,Clc1cc(Cl)cc(Cl)c1,-0.78
37,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-11.53
38,O=c1cc(Cl)[nH]c(=O)[nH]1,-15.83
39,CCN(CC)CC,-3.22
40,Clc1ccc(Cl)cc1,-1.01
41,Oc1ccc(Br)cc1,-5.85
42,COc1c(Cl)ccc(Cl)c1C(=O)O,-9.86
43,CC(C)C[C@@H](C)O,-3.73
44,O=Cc1cccc(O)c1,-9.52
45,Nc1ccccc1Cl,-4.91
46,O=C1CCCCC1,-4.91
47,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-9.41
48,CCCC=O,-3.18
49,O=[N+]([O-])c1ccc(O)cc1,-10.64
50,CC[N+](=O)[O-],-3.71
51,CCCCCCOC(C)=O,-2.26
52,CCOc1ccccc1,-2.22
53,Oc1ccc2ccccc2c1,-8.11
54,CC1=CCCCC1,0.67
55,COC(C)C,-2.01
56,CCCCCl,-0.16
57,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,-3.81
58,CCCCOC(C)=O,-2.64
59,O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-4.23
60,ClCC(Cl)(Cl)Cl,-1.43
61,C=CC(C)C,1.83
62,CCCCOC[C@H](C)O,-5.73
63,CCCCCCBr,0.18
64,CC(C)CO[N+](=O)[O-],-1.88
65,CCCCCCCCBr,0.52
66,C1COCCO1,-5.06
67,C1COCCN1,-7.17
68,CC(=O)OCC(COC(C)=O)OC(C)=O,-8.84
69,CCOC(=O)CC(=O)OCC,-6.0
70,CC(C)c1ccccc1,-0.3
71,O=[N+]([O-])c1ccccc1O,-4.58
72,CNC(=O)O/N=C\C(C)(C)SC,-9.84
73,O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8
74,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62
75,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-6.74
76,Oc1ccccc1Cl,-4.55
77,C1=CCCC1,0.56
78,CCCCOCCO,-6.25
79,ClCCOCCCl,-4.23
80,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-12.64
81,CCCCCC(=O)OCC,-2.23
82,OCc1ccccc1,-6.62
83,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-3.84
84,Nc1ccc2ccccc2c1,-7.47
85,Cc1cc(O)ccc1Cl,-6.79
86,CCCCCCCCO,-4.09
87,CCCCCC1CCCC1,2.55
88,ClC(Cl)(Cl)Cl,0.08
89,Clc1ccccc1-c1ccccc1,-2.69
90,CCCc1ccc(O)cc1,-5.21
91,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-4.82
92,COC(=O)C1CC1,-4.1
93,CCOC(=O)c1ccccc1,-3.64
94,CCC(C)(C)O,-4.43
95,CCN=c1[nH]c(SC)nc(=NC(C)(C)C)[nH]1,-6.68
96,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
97,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-20.52
98,COC(C)=O,-3.13
99,CC(=O)OCCOC(C)=O,-6.34
100,c1ccsc1,-1.4
101,CCCOC(=O)CCC,-2.28
102,COC(=O)CC#N,-6.72
103,CC(=O)OC(C)C,-2.64
104,FC(F)(F)c1cccc(C(F)(F)F)c1,1.07
105,C=CCCC,1.68
106,C1=CC=CCC=C1,-0.99
107,CCCCC(C)C,2.93
108,c1c[nH]cn1,-9.63
109,FC(F)[C@@H](F)Oc1ccccc1,-1.29
110,C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,-4.44
111,O=CCNc1cccc2c(O)c3ccccc3c(O)c12,-14.21
112,Oc1ccccc1F,-5.29
113,CC[C@H](C)O,-4.62
114,O=c1[nH]cc(Br)c(=O)[nH]1,-18.17
115,C=CCCCC,1.58
116,CC(=O)c1ccc(C)cc1,-4.7
117,CC(C)(C)Br,0.84
118,CCc1ccccn1,-4.33
119,Clc1ccccn1,-4.39
120,Cc1ccc(C(=O)N(C)C)cc1,-9.76
121,Cc1ccccc1N,-5.53
122,Clc1ccccc1Cl,-1.36
123,CCc1ccccc1C,-0.85
124,CCCCO,-4.72
125,C#CCCCCC,0.6
126,CCC(C)CC,2.51
127,CCCCNCCCC,-3.24
128,FC(F)(F)Br,1.79
129,O=C1C=CC(=O)C=C1,-6.5
130,ClC(Cl)=C(Cl)Cl,0.1
131,Cc1cccnc1C,-4.82
132,CCc1cccc2ccccc12,-2.4
133,CCC(C)C,2.38
134,CCCCCCO[N+](=O)[O-],-1.66
135,CCCCC(=O)CCCC,-2.64
136,CNC(=O)Oc1cccc2ccccc12,-9.45
137,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,-11.85
138,COc1cccc(O)c1,-7.66
139,C[C@H](Cl)CCl,-1.27
140,OCC(O)CO,-13.43
141,CN(C)CCOC(c1ccccc1)c1ccccc1,-9.34
142,CCCCc1ccccc1,-0.4
143,CCCCCCCCN,-3.65
144,CCCCCC=O,-2.81
145,COC(CC#N)(OC)OC,-6.4
146,Clc1cccc(Cl)c1Cl,-1.24
147,CN1CCOCC1,-6.32
148,O=Cc1ccccc1,-4.02
149,CC(C)COC(=O)C(C)C,-1.69
150,CCOCCO,-6.69
151,CCOC(=O)c1ccc(O)cc1,-9.2
152,CC1=CC(=O)CC(C)(C)C1,-5.18
153,OC1CCCCC1,-5.46
154,COC(F)(F)C(Cl)Cl,-1.12
155,CCCC[N+](=O)[O-],-3.09
156,CCCCCOC(=O)CC,-2.11
157,c1ccc(-c2ccccc2)cc1,-2.7
158,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,-3.17
159,Oc1cccc(Cl)c1,-6.62
160,CCOP(=O)(OCC)OCC,-7.5
161,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,-9.73
162,C=CCCC=C,1.01
163,Oc1ccccc1,-6.6
164,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-4.4
165,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.04
166,COc1c(O)c(OC)c(Cl)c(C=O)c1Cl,-8.68
167,CC(C)(C)c1ccccc1,-0.44
168,Cc1ccccc1O,-5.9
169,Brc1ccc(Br)cc1,-2.3
170,CCCCCCCN,-3.79
171,F[C@H](Br)C(F)(F)F,0.5
172,Cc1ccc(Br)cc1,-1.39
173,O=[N+]([O-])C(Cl)(Cl)Cl,-1.45
174,COCCN,-6.55
175,CCC(=O)CC,-3.41
176,COC(=O)C1CCCCC1,-3.3
177,CCC[C@H](C)CC,2.71
178,O=[N+]([O-])OCCO,-8.18
179,CCc1cccc(O)c1,-6.25
180,CC1CCCCC1,1.7
181,CCc1cccc(CC)c1N(COC)C(=O)CCl,-8.21
182,c1ccc2cc3ccccc3cc2c1,-3.95
183,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78
184,BrCc1ccccc1,-2.38
185,COC(=O)c1ccc([N+](=O)[O-])cc1,-6.88
186,Cc1cccs1,-1.38
187,CNc1ccccc1,-4.69
188,Cc1ccccc1Cl,-1.14
189,C1CNCCN1,-7.4
190,CC(C)(C)O,-4.47
191,CCCCCC(C)=O,-3.04
192,Cc1cccc(C)c1,-0.83
193,O=Cc1cccnc1,-7.1
194,CSc1ccccc1,-2.73
195,N#Cc1ccccc1,-4.1
196,CC(C)(C)c1ccc(O)cc1,-5.91
197,c1ccccc1,-0.9
198,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
199,Cc1ccc(C)c(C)c1,-0.86
200,C=CCCCCCCC,2.06
201,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-8.15
202,Sc1ccccc1,-2.55
203,CCCCC=O,-3.03
204,CC1CCC(C)CC1,2.11
205,Cc1ccc(O)cc1,-6.13
206,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-7.78
207,FC(F)(F)c1ccccc1,-0.25
208,COCC(OC)(OC)OC,-5.73
209,Clc1ccccc1,-1.12
210,Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,-3.67
211,NC1CCCCC1,-4.59
212,CCC(C)(C)C,2.51
213,CCOCC,-1.59
214,Cc1ccccn1,-4.63
215,CCCCC(=O)OC,-2.56
216,CCCCCCI,0.08
217,Cc1cccnc1,-4.77
218,CCCOC(C)=O,-2.79
219,C=C(C)c1ccccc1,-1.24
220,OCCCc1ccccc1,-6.92
221,CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],-7.98
222,COC(=O)c1ccc(O)cc1,-9.51
223,CC(C)(C)C,2.51
224,Cc1ccc(C)c2ccccc12,-2.82
225,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-7.19
226,CCc1cnccn1,-5.45
227,Cc1ccc(C)nc1,-4.72
228,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,-3.61
229,CC(C)CCC(C)(C)C,2.93
230,CCCC(C)(C)C,2.88
231,CCC(=O)O,-6.46
232,C=CC(=C)C,0.68
233,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-9.61
234,CC(=O)C(C)(C)C,-3.11
235,Oc1ccc(Cl)c(Cl)c1,-7.29
236,CCCCCCCCC(C)=O,-2.34
237,CCC[C@@H](C)O,-4.39
238,CCCC1CCCC1,2.13
239,Clc1ccc2c(c1)Oc1ccccc1O2,-3.1
240,CCNCC,-4.07
241,CNC(C)=O,-10.0
242,CC(C)CC(C)(C)C,2.89
243,ClCc1ccccc1,-1.93
244,CC(=O)OCC(C)C,-2.36
245,OCCc1ccccc1,-6.79
246,Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-4.61
247,CCCSC(=O)N(CCC)CCC,-4.13
248,C[C@H]1CC[C@H](C)O1,-2.92
249,c1ccc2c(c1)Cc1ccccc1C2,-3.78
250,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-3.71
251,CCCCCc1ccccc1,-0.23
252,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-6.48
253,CC(=O)C1CC1,-4.61
254,Cc1ccnc(C)c1,-4.86
255,CCCNCCC,-3.65
256,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,-10.22
257,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
258,CC[C@H](C)c1ccccc1,-0.45
259,CCC[N+](=O)[O-],-3.34
260,C1CCOC1,-3.47
261,C[C@H]1CCCO1,-3.3
262,Cc1ccc2cc(C)ccc2c1,-2.63
263,CC(=O)OCCC(C)C,-2.21
264,CCCCCCCCCC,3.16
265,CCCc1ccccc1,-0.53
266,COC(OC)(OC)C(F)(F)F,-0.8
267,O=COc1ccccc1,-3.82
268,c1ccc(Cn2ccnc2)cc1,-7.63
269,CC(Cl)(Cl)Cl,-0.19
270,CCCCC(C)=O,-3.28
271,COc1c(Cl)cc(Cl)c(OC)c1O,-6.44
272,Cc1ccc(O)cc1C,-6.5
273,COC(=O)C(C)(C)C,-2.4
274,c1ccc2c(c1)Oc1ccccc1O2,-3.15
275,CCc1cccnc1,-4.59
276,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-3.04
277,CN(C)C(=O)Nc1ccccc1,-9.13
278,CCCCCCCC(=O)OC,-2.04
279,C=C[C@@](C)(CCC=C(C)C)OC(C)=O,-2.49
280,CC(=O)c1ccccc1,-4.58
281,O=c1[nH]cc(F)c(=O)[nH]1,-16.92
282,CC[C@H](C)Cl,0.0
283,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64
284,CCCCOCCCC,-0.83
285,CCOCCOCC,-3.54
286,CCCCC(=O)O,-6.16
287,CCCCCO,-4.57
288,COc1cc(C=O)c(Cl)c(OC)c1O,-7.78
289,COc1ccc(C(=O)N(C)C)cc1,-11.01
290,CC(C)CC(=O)O,-6.09
291,CCOC(=O)CC,-2.68
292,CCCC(C)C,2.51
293,CC(C)=CCC/C(C)=C\CO,-4.78
294,CCCCCC(=O)O,-6.21
295,CCc1ccc(O)cc1,-6.13
296,CC(=O)N1CCCC1,-9.8
297,CC[C@@H](C)CO,-4.42
298,N#Cc1cccnc1,-6.75
299,Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2,-9.01
300,CCCCCCCO,-4.21
301,CCCC(=O)O,-6.35
302,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.66
303,COc1ccccc1O,-5.94
304,O=Cc1ccc(O)cc1,-8.83
305,CCCCCCCCC=O,-2.07
306,Nc1cccc([N+](=O)[O-])c1,-8.84
307,CCCCCCC=O,-2.67
308,Clc1cccnc1,-4.01
309,N#Cc1ccc(O)cc1,-10.17
310,COC(=O)C(F)(F)F,-1.1
311,COC(OC)(OC)c1ccccc1,-4.04
312,Cc1cccc(O)c1C,-6.16
313,CCCCCOC(C)=O,-2.51
314,c1ccc2ccccc2c1,-2.4
315,c1ccc2c(c1)CCC2,-1.46
316,CCCC(=O)CCC,-2.92
317,CCC[C@@H](O)CC,-4.06
318,CCCCCC(N)=O,-9.31
319,Clc1cc(Cl)c(Cl)cc1Cl,-1.34
320,C/C=C/C=O,-4.22
321,CCSCC,-1.46
322,O=C1CCCC1,-4.7
323,C1=CCCCC1,0.14
324,CS(C)(=O)=O,-10.08
325,Cc1cc(C)cc(C)c1,-0.9
326,CC(C)[N+](=O)[O-],-3.13
327,C=Cc1ccccc1,-1.24
328,C=C(C)CCC,1.47
329,CCCC(C)=O,-3.52
330,CCCCCCCC=O,-2.29
331,Cc1ccc(N)cc1,-5.57
332,COc1ccc(C(C)=O)cc1,-4.4
333,C/C=C/CCCC,1.68
334,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-9.4
335,[O-][S+2]1([O-])CCCC1,-8.61
336,Oc1ccc(Cl)cc1,-7.03
337,CC(=O)C(C)C,-3.24
338,ClC(Cl)C(Cl)(Cl)Cl,-1.23
339,C=C(C)C(=C)C,0.4
340,C#CCCCCCC,0.71
341,CC(=O)c1ccncc1,-7.62
342,CCCCBr,-0.4
343,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-3.48
344,CC(C)COC=O,-2.22
345,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-3.51
346,CCCCO[N+](=O)[O-],-2.09
347,FC(F)(F)[C@H](Cl)Br,-0.11
348,CCCOC=O,-2.48
349,CCC(C)(C)CC,2.56
350,COC(=O)c1ccc(OC)cc1,-5.33
351,CC(C)CCO,-4.42
352,COC(=O)c1ccccc1,-3.92
353,CC(C)OC(C)C,-0.53
354,Cc1cncc(C)c1,-4.84
355,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.15
356,CCCC#N,-3.64
357,COP(=O)(OC)OC,-8.7
358,C1CCOCC1,-3.12
359,Clc1ccc(Cl)c(Cl)c1,-1.12
360,CCC(=O)OC,-2.93
361,CCOP(=S)(OCC)SCSCC,-4.37
362,Cc1c[nH]c2ccccc12,-5.88
363,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](Cl)C[C@@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-3.44
364,Nc1ccccc1[N+](=O)[O-],-7.37
365,Oc1cccc2ccccc12,-7.67
366,CN(CC(F)(F)F)c1ccccc1,-1.92
367,CC(C)CC(C)C,2.83
368,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-2.28
369,C#CCCCC,0.29
370,CCCCCCCBr,0.34
371,Cc1cccc(C)c1O,-5.26
372,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-1.96
373,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.53
374,CCOC(=O)CCC(=O)OCC,-5.71
375,Clc1cc(Cl)c(Cl)c(Cl)c1,-1.62
376,CC(=O)Oc1ccccc1C(=O)O,-9.94
377,COC(CCl)(OC)OC,-4.59
378,COC(C)(OC)OC,-4.42
379,CCCCN(CC)C(=O)SCCC,-3.64
380,Nc1ccc(Cl)cc1,-5.9
381,O=Cc1ccncc1,-7.0
382,CCc1ccccc1,-0.79
383,CCCCCCO,-4.4
384,CCc1ccncc1,-4.73
385,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-10.21
386,CCCCC,2.3
387,CCCCCCCC(C)=O,-2.49
388,Cc1ccncc1,-4.93
389,CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,-11.95
390,CCCC(=O)OC,-2.83
391,ClC=C(Cl)Cl,-0.44
392,CC(C)C1CC[C@@H](C)CC1=O,-2.53
393,Cc1ccc(C=O)cc1,-4.27
394,CCCCCCc1ccccc1,-0.04
